                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.97858,                 2.7585,                0.29376,                0.62616,                 1.0431,                0.39472,                0.57143,                0.45309,                0.22249,                0.68331,                0.21429,                0.24996,                0.04134,                 1.9533,                 7.5198,                0.63331,                  2.529,                 2.0143,             0.00050461,             0.00050461,             0.00050461
                     54,                  1.053,                 3.4752,                0.31359,                0.77287,                 1.1466,                0.43472,                 0.4947,                0.46646,                0.21303,                0.47294,                0.28571,                0.23772,                0.04844,                 1.8809,                 7.5724,                0.67212,                 2.4859,                 1.8717,             0.00050382,             0.00050382,             0.00050382
                     55,                 1.2727,                 4.3712,                 0.3399,                  1.087,                 1.0874,                0.43472,                 0.4947,                0.46646,                0.21303,                0.47294,                0.28571,                0.23772,                0.04844,                 1.8809,                 7.5724,                0.67212,                 2.4859,                 1.8717,             0.00050263,             0.00050263,             0.00050263
                     56,                 1.0914,                 3.2368,                0.36034,                0.88834,                 1.1523,                0.43472,                 0.4947,                0.46646,                0.21303,                0.47294,                0.28571,                0.23772,                0.04844,                 1.8809,                 7.5724,                0.67212,                 2.4859,                 1.8717,             0.00050105,             0.00050105,             0.00050105
                     57,                 1.3955,                 4.7241,                0.24027,                 1.3742,                 1.6719,                0.61577,                    0.5,                0.53596,                0.31614,                0.69702,                0.28571,                0.27489,                0.04677,                 1.7877,                 7.5317,                0.65348,                 2.6162,                 1.7423,             0.00049907,             0.00049907,             0.00049907
                     58,                 1.2063,                 2.9835,                0.29711,                 1.1861,                 1.4102,                0.61577,                    0.5,                0.53596,                0.31614,                0.69702,                0.28571,                0.27489,                0.04677,                 1.7877,                 7.5317,                0.65348,                 2.6162,                 1.7423,              0.0004967,              0.0004967,              0.0004967
                     59,                0.92327,                 2.5539,                0.30512,                0.72471,                 1.0979,                0.61577,                    0.5,                0.53596,                0.31614,                0.69702,                0.28571,                0.27489,                0.04677,                 1.7877,                 7.5317,                0.65348,                 2.6162,                 1.7423,             0.00049393,             0.00049393,             0.00049393
                     60,                 1.6268,                 3.2328,                0.43029,                 1.2228,                  1.721,                0.41355,                0.42857,                0.46116,                0.27884,                0.38147,                0.21429,                 0.2124,                0.02427,                 1.7165,                 7.6589,                0.65191,                 2.6845,                 1.6775,             0.00049076,             0.00049076,             0.00049076
                     61,                 1.2059,                 3.6604,                 0.3319,                 0.7927,                 1.1212,                0.41355,                0.42857,                0.46116,                0.27884,                0.38147,                0.21429,                 0.2124,                0.02427,                 1.7165,                 7.6589,                0.65191,                 2.6845,                 1.6775,              0.0004872,              0.0004872,              0.0004872
                     62,                 1.0938,                 3.5908,                0.39072,                 1.0847,                 1.1611,                0.41355,                0.42857,                0.46116,                0.27884,                0.38147,                0.21429,                 0.2124,                0.02427,                 1.7165,                 7.6589,                0.65191,                 2.6845,                 1.6775,             0.00048324,             0.00048324,             0.00048324
                     63,                  1.095,                 3.0686,                0.29224,                0.90522,                 1.1544,                0.49929,                0.35714,                0.38444,                 0.2432,                0.34992,                0.14286,                0.08676,                0.01296,                 1.7735,                 7.8106,                0.65201,                 2.8607,                 1.6794,             0.00047889,             0.00047889,             0.00047889
                     64,                 1.1675,                 4.0692,                0.35422,                0.81102,                 1.2655,                0.49929,                0.35714,                0.38444,                 0.2432,                0.34992,                0.14286,                0.08676,                0.01296,                 1.7735,                 7.8106,                0.65201,                 2.8607,                 1.6794,             0.00047414,             0.00047414,             0.00047414
                     65,                 1.1598,                  4.138,                0.32614,                 1.0458,                 1.3409,                0.49929,                0.35714,                0.38444,                 0.2432,                0.34992,                0.14286,                0.08676,                0.01296,                 1.7735,                 7.8106,                0.65201,                 2.8607,                 1.6794,             0.00046899,             0.00046899,             0.00046899
                     66,                0.97246,                 3.1984,                0.40395,                0.76899,                 1.1621,                0.42665,                0.42857,                0.37088,                0.21407,                0.19273,                0.21429,                0.06379,                0.00976,                 1.7341,                 8.0268,                0.66058,                 2.6511,                 1.7037,             0.00046345,             0.00046345,             0.00046345
                     67,                 1.3866,                 3.3192,                0.33106,                0.85775,                 1.3384,                0.42665,                0.42857,                0.37088,                0.21407,                0.19273,                0.21429,                0.06379,                0.00976,                 1.7341,                 8.0268,                0.66058,                 2.6511,                 1.7037,             0.00045751,             0.00045751,             0.00045751
